nb_pertes_parcelle,irrigation_mm,azote_kg_ha,ph_sol,salinite_g_l,temperature_c,humidite_pct,experience_ans,surface_ha,main_oeuvre,conseil_agricole,inondation,panne_pompe,systeme_irrigation
0,861.1612672738765,108.92537808394775,5.531321229453035,5.641794789769582,28.597216018239248,71.3752542812659,23,3.288270933153392,9,0,0,0,Traditionnel
0,1319.4159982483889,142.31090846673067,6.180937250476044,8.867210130356446,31.430868694825424,71.46076891178816,10,3.6286990588330625,16,1,0,0,Moderne
16,1162.2552695714382,68.174450248936,5.80573724577605,3.131432300631773,31.236600909327976,81.07522760263632,24,4.138294814600662,11,1,0,0,Traditionnel
0,768.6151629380197,117.98887737879836,8.06456681623829,1.966624564023771,25.366770702177693,70.27877484945932,29,1.1362476201778158,10,1,1,0,Semi-moderne
0,972.707944566922,68.41931113955407,6.86025043682934,5.318509892444423,32.91711339052689,65.36053610077823,3,5.788992522109764,7,1,0,0,Semi-moderne
0,1463.3160381613732,84.50015247521071,6.549160824350328,3.166336109282314,29.834322686328484,74.810780535466,16,2.4792218456848585,1,1,0,0,Semi-moderne
0,566.1305664535237,72.85337875362715,6.056320781242257,2.9976908920470047,31.006638868180104,77.71068980920359,37,1.7408385208005301,8,1,0,0,Traditionnel
6,1005.639221651641,79.44912145777994,5.642942723423188,6.31556528786414,25.464311738834144,77.70191596823702,5,1.61775175043178,2,0,0,0,Semi-moderne
0,1378.5059769152176,117.61653731788448,6.403360775031988,2.6002844648542855,33.60056772419319,56.3960006352061,31,1.7728192085677967,2,0,1,1,Moderne
22,909.3171115016776,102.89721080133367,6.14744239808113,1.9735486981381352,33.89956263305746,76.18227829893692,15,0.39849899361282604,15,0,0,0,Moderne
0,950.645046643148,61.15673401956617,6.408413599061139,0.0705883307628212,26.15869966703731,77.6011006355933,35,1.1125415293345495,4,1,1,0,Semi-moderne
0,1079.164026833884,63.672875729522545,7.050850781914137,2.972539204907202,31.210177862662434,57.13952584680936,33,1.6547363147221807,8,0,0,0,Traditionnel
0,1428.1057177473433,138.02164522605455,6.276066710114458,4.46985636967041,32.08136989717373,55.468165069987045,26,1.3311473400103624,3,1,0,0,Semi-moderne
0,959.4415607293768,55.3519592646699,5.189764133593346,1.0344834938964227,37.20779003658252,69.43360728287112,8,4.639963611243106,2,1,1,1,Moderne
0,1002.3239688778656,141.4423886723438,6.214372088180046,1.364443081496017,23.041955934987598,65.89629929436794,18,3.3316108422319832,2,1,0,0,Semi-moderne
0,1004.4427193639262,77.90098351197989,6.898879040365032,4.338334384034406,25.76920473629872,68.38298145233675,1,3.2993723609564647,7,0,0,0,Moderne
0,1585.3046181996003,101.41077839648678,5.180583676259059,4.144884371185607,30.023512399915678,66.50080556320563,10,3.0027001636819635,18,0,1,1,Semi-moderne
0,1581.092939574233,106.20975867488379,5.071433842179893,0.29770494057184393,28.442700813883533,81.1852441965454,10,0.8044603768816707,2,0,0,1,Traditionnel
